13
0 2 4
0 5 14
1 11 4
1 4 16
2 6 5
2 7 3
3 10 4
3 5 10
4 11 19
4 8 11
5 4 2
5 2 6
6 7 8
6 0 14
7 1 14
7 8 16
8 9 20
8 1 17
9 3 10
9 10 19
10 12 8
11 9 20
11 12 13
12 3 1
---HET---
10
0 8 5
0 4 17
1 5 1
1 2 7
2 6 11
2 7 16
3 1 1
3 7 2
4 2 16
4 5 12
5 9 18
5 0 1
6 3 2
6 4 10
7 1 10
7 6 18
8 9 15
---HET---
13
0 2 4
0 5 14
1 11 4
1 4 16
2 6 5
2 7 3
3 10 4
3 5 10
4 11 19
4 8 11
5 4 2
5 2 6
6 7 8
6 0 14
7 1 14
7 8 16
8 9 20
8 1 17
9 3 10
9 10 19
10 12 8
11 9 20
11 12 13
12 3 1
---HET---
17
0 7 8
0 15 2
1 16 18
1 14 18
2 11 11
2 5 7
3 8 13
3 2 10
4 8 15
4 0 20
5 9 2
5 11 4
6 1 17
6 4 9
7 16 4
7 6 5
8 14 2
8 0 3
9 12 12
10 2 7
10 12 18
11 3 19
11 10 8
12 13 2
12 5 11
13 10 17
14 3 5
15 9 5
15 7 10
16 6 19
16 4 2
---HET---
12
0 6 16
0 8 18
1 9 19
1 7 10
2 5 12
2 3 8
3 11 19
3 4 9
4 5 10
4 6 14
5 11 4
5 3 6
6 2 15
6 8 18
7 9 8
7 0 15
8 7 15
8 1 7
9 10 8
9 0 4
10 1 14
11 10 16
11 4 15
---HET---
13
0 2 4
0 5 14
1 11 4
1 4 16
2 6 5
2 7 3
3 10 4
3 5 10
4 11 19
4 8 11
5 4 2
5 2 6
6 7 8
6 0 14
7 1 14
7 8 16
8 9 20
8 1 17
9 3 10
9 10 19
10 12 8
11 9 20
11 12 13
12 3 1
---HET---
13
0 2 4
0 5 14
1 11 4
1 4 16
2 6 5
2 7 3
3 10 4
3 5 10
4 11 19
4 8 11
5 4 2
5 2 6
6 7 8
6 0 14
7 1 14
7 8 16
8 9 20
8 1 17
9 3 10
9 10 19
10 12 8
11 9 20
11 12 13
12 3 1
---HET---
13
0 2 4
0 5 14
1 11 4
1 4 16
2 6 5
2 7 3
3 10 4
3 5 10
4 11 19
4 8 11
5 4 2
5 2 6
6 7 8
6 0 14
7 1 14
7 8 16
8 9 20
8 1 17
9 3 10
9 10 19
10 12 8
11 9 20
11 12 13
12 3 1
---HET---
13
0 2 4
0 5 14
1 11 4
1 4 16
2 6 5
2 7 3
3 10 4
3 5 10
4 11 19
4 8 11
5 4 2
5 2 6
6 7 8
6 0 14
7 1 14
7 8 16
8 9 20
8 1 17
9 3 10
9 10 19
10 12 8
11 9 20
11 12 13
12 3 1
---HET---
